ID,FR,GB,PT,NL,DE
text_err_200_geohpf_gauche_defaut,Erreur : Sonde extérieure,New Text,New Text,New Text,New Text
text_err_201_geohpf_gauche_defaut,Défaut : Sonde extérieure,New Text,New Text,New Text,New Text
text_err_210_geohpf_gauche_defaut,Erreur : Sonde d'eau départ chauffage,New Text,New Text,New Text,New Text
text_err_211_geohpf_gauche_defaut,Défaut : Sonde d'eau départ chauffage,New Text,New Text,New Text,New Text
text_err_212_geohpf_gauche_defaut,Erreur : Sonde d'eau retour chauffage,New Text,New Text,New Text,New Text
text_err_213_geohpf_gauche_defaut,Défaut : Sonde d'eau retour chauffage,New Text,New Text,New Text,New Text
text_err_214_geohpf_gauche_defaut,Erreur : Pression d'eau chauffage,New Text,New Text,New Text,New Text
text_err_215_geohpf_gauche_defaut,Défaut : Pression d'eau chauffage,New Text,New Text,New Text,New Text
text_err_216_geohpf_gauche_defaut,Erreur : Débitmètre chauffage,New Text,New Text,New Text,New Text
text_err_217_geohpf_gauche_defaut,Défaut : Débitmètre chauffage,New Text,New Text,New Text,New Text
text_err_230_geohpf_gauche_defaut,Défaut : Fusible appoint (brin 1),New Text,New Text,New Text,New Text
text_err_231_geohpf_gauche_defaut,Défaut : Fusible appoint (brin 2),New Text,New Text,New Text,New Text
text_err_232_geohpf_gauche_defaut,Défaut : Fusible appoint (brin 3),New Text,New Text,New Text,New Text
text_err_233_geohpf_gauche_defaut,"Défaut : Klixon ou fusibles appoint (brin 1, 2 et 3)",New Text,New Text,New Text,New Text
text_err_240_geohpf_gauche_defaut,Défaut : Mauvaise Configuration PAC,New Text,New Text,New Text,New Text
text_err_241_geohpf_gauche_defaut,Défaut : Absence de numéro de série,New Text,New Text,New Text,New Text
text_err_250_geohpf_gauche_defaut,Erreur : Sonde d'eau départ captage,New Text,New Text,New Text,New Text
text_err_251_geohpf_gauche_defaut,Défaut : Sonde d'eau départ captage,New Text,New Text,New Text,New Text
text_err_252_geohpf_gauche_defaut,Erreur : Sonde d'eau retour captage,New Text,New Text,New Text,New Text
text_err_253_geohpf_gauche_defaut,Défaut : Sonde d'eau retour captage,New Text,New Text,New Text,New Text
text_err_254_geohpf_gauche_defaut,Erreur : Sonde entrée eau de nappe anormale,New Text,New Text,New Text,New Text
text_err_255_geohpf_gauche_defaut,Défaut : Température entrée eau de nappe anormale,New Text,New Text,New Text,New Text
text_err_256_geohpf_gauche_defaut,Erreur : Sonde sortie eau de nappe anormale,New Text,New Text,New Text,New Text
text_err_257_geohpf_gauche_defaut,Défaut : Température sortie eau de nappe anormale,New Text,New Text,New Text,New Text
text_err_258_geohpf_gauche_defaut,Erreur : Pression d'eau captage,New Text,New Text,New Text,New Text
text_err_259_geohpf_gauche_defaut,Défaut : Pression d'eau captage,New Text,New Text,New Text,New Text
text_err_260_geohpf_gauche_defaut,Erreur : Débitmètre captage,New Text,New Text,New Text,New Text
text_err_261_geohpf_gauche_defaut,Défaut : Débitmètre captage,New Text,New Text,New Text,New Text
text_err_262_geohpf_gauche_defaut,Défaut : Débistat puits,New Text,New Text,New Text,New Text
text_err_300_geohpf_gauche_defaut,Erreur : Sonde de refoulement circuit 1,New Text,New Text,New Text,New Text
text_err_301_geohpf_gauche_defaut,Défaut : Sonde de refoulement circuit 1,New Text,New Text,New Text,New Text
text_err_302_geohpf_gauche_defaut,Erreur : Sonde d'aspiration circuit 1,New Text,New Text,New Text,New Text
text_err_303_geohpf_gauche_defaut,Défaut : Sonde d'aspiration circuit 1,New Text,New Text,New Text,New Text
text_err_304_geohpf_gauche_defaut,Erreur : Pression HP circuit 1,New Text,New Text,New Text,New Text
text_err_305_geohpf_gauche_defaut,Défaut : Pression HP circuit 1,New Text,New Text,New Text,New Text
text_err_306_geohpf_gauche_defaut,Erreur : Pression BP circuit 1,New Text,New Text,New Text,New Text
text_err_307_geohpf_gauche_defaut,Défaut : Pression BP circuit 1,New Text,New Text,New Text,New Text
text_err_308_geohpf_gauche_defaut,Défaut : Démarrage compresseur circuit 1,New Text,New Text,New Text,New Text
text_err_309_geohpf_gauche_defaut,Défaut : Démarrage compresseur récurrent circuit 1,New Text,New Text,New Text,New Text
text_err_310_geohpf_gauche_defaut,Défaut : Pressostat HP circuit 1,New Text,New Text,New Text,New Text
text_err_311_geohpf_gauche_defaut,Défaut : Klixon compresseur circuit 1,New Text,New Text,New Text,New Text
text_err_340_geohpf_gauche_defaut,Erreur : Sonde de refoulement circuit 2,New Text,New Text,New Text,New Text
text_err_341_geohpf_gauche_defaut,Défaut : Sonde de refoulement circuit 2,New Text,New Text,New Text,New Text
text_err_342_geohpf_gauche_defaut,Erreur : Sonde d'aspiration circuit 2,New Text,New Text,New Text,New Text
text_err_343_geohpf_gauche_defaut,Défaut : Sonde d'aspiration circuit 2,New Text,New Text,New Text,New Text
text_err_344_geohpf_gauche_defaut,Erreur : Pression HP circuit 2,New Text,New Text,New Text,New Text
text_err_345_geohpf_gauche_defaut,Défaut : Pression HP circuit 2,New Text,New Text,New Text,New Text
text_err_346_geohpf_gauche_defaut,Erreur : Pression BP circuit 2,New Text,New Text,New Text,New Text
text_err_347_geohpf_gauche_defaut,Défaut : Pression BP circuit 2,New Text,New Text,New Text,New Text
text_err_348_geohpf_gauche_defaut,Défaut : Démarrage compresseur circuit 2,New Text,New Text,New Text,New Text
text_err_349_geohpf_gauche_defaut,Défaut : Démarrage compresseur récurrent circuit 2,New Text,New Text,New Text,New Text
text_err_350_geohpf_gauche_defaut,Défaut : Pressostat HP circuit 2,New Text,New Text,New Text,New Text
text_err_351_geohpf_gauche_defaut,Défaut : Klixon compresseur circuit 2,New Text,New Text,New Text,New Text
text_err_380_geohpf_gauche_defaut,Erreur : Sonde de retour liquide circuit 1,New Text,New Text,New Text,New Text
text_err_381_geohpf_gauche_defaut,Défaut : Sonde de retour liquide circuit 1,New Text,New Text,New Text,New Text
text_err_382_geohpf_gauche_defaut,Erreur : Sonde de retour liquide circuit 2,New Text,New Text,New Text,New Text
text_err_383_geohpf_gauche_defaut,Défaut : Sonde de retour liquide circuit 2,New Text,New Text,New Text,New Text
text_err_384_geohpf_gauche_defaut,Erreur : Erreurs récurrentes,New Text,New Text,New Text,New Text
text_err_700_geohpf_gauche_defaut,Alerte : Sonde extérieure,New Text,New Text,New Text,New Text
text_err_705_geohpf_gauche_defaut,Alerte : Sonde d'eau départ chauffage,New Text,New Text,New Text,New Text
text_err_706_geohpf_gauche_defaut,Alerte : Sonde d'eau retour chauffage,New Text,New Text,New Text,New Text
text_err_707_geohpf_gauche_defaut,Alerte : Pression d'eau chauffage,New Text,New Text,New Text,New Text
text_err_708_geohpf_gauche_defaut,Alerte : Débitmètre chauffage,New Text,New Text,New Text,New Text
text_err_715_geohpf_gauche_defaut,Alerte : Compteur d'energie,New Text,New Text,New Text,New Text
text_err_720_geohpf_gauche_defaut,Alerte : Sonde d'eau départ captage,New Text,New Text,New Text,New Text
text_err_721_geohpf_gauche_defaut,Alerte : Sonde d'eau retour captage,New Text,New Text,New Text,New Text
text_err_722_geohpf_gauche_defaut,Alerte : Sonde d'entrée eau de puits,New Text,New Text,New Text,New Text
text_err_723_geohpf_gauche_defaut,Alerte : Sonde de sortie d'eau de puits,New Text,New Text,New Text,New Text
text_err_724_geohpf_gauche_defaut,Alerte : Pression d'eau captage,New Text,New Text,New Text,New Text
text_err_725_geohpf_gauche_defaut,Alerte : Débitmètre captage,New Text,New Text,New Text,New Text
text_err_740_geohpf_gauche_defaut,Alerte : Sonde de refoulement circuit 1,New Text,New Text,New Text,New Text
